"p           ","o/f         ","t           ","cp          ","gam         ","pip         ","mach        ","ae          ","cf          ","isp         "
   1.04325E+00,   5.50000E+00,   1.82353E+03,   1.57269E+00,   1.26066E+00,   2.97400E+01,   2.75323E+00,   4.55881E+00,   1.46486E+00,   2.37807E+03
   9.73832E-01,   5.50000E+00,   1.79775E+03,   1.56953E+00,   1.26122E+00,   3.18600E+01,   2.79207E+00,   4.78060E+00,   1.47530E+00,   2.39502E+03
   9.13075E-01,   5.50000E+00,   1.77392E+03,   1.56682E+00,   1.26170E+00,   3.39800E+01,   2.82847E+00,   4.99865E+00,   1.48487E+00,   2.41056E+03
   8.59216E-01,   5.50000E+00,   1.75169E+03,   1.56443E+00,   1.26213E+00,   3.61100E+01,   2.86287E+00,   5.21426E+00,   1.49373E+00,   2.42494E+03
   8.11569E-01,   5.50000E+00,   1.73106E+03,   1.56235E+00,   1.26252E+00,   3.82300E+01,   2.89519E+00,   5.42566E+00,   1.50190E+00,   2.43820E+03
   2.41316E+01,   6.00000E+00,   3.33927E+03,   3.62186E+00,   1.16155E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.37799E+01,   6.00000E+00,   3.12046E+03,   3.18462E+00,   1.16607E+00,   1.75122E+00,   9.99991E-01,   1.00000E+00,   6.65851E-01,   1.08160E+03
   8.11418E-01,   6.00000E+00,   1.95147E+03,   1.57810E+00,   1.25098E+00,   2.97400E+01,   2.73088E+00,   4.69874E+00,   1.47399E+00,   2.39433E+03
   7.57425E-01,   6.00000E+00,   1.92472E+03,   1.57249E+00,   1.25184E+00,   3.18600E+01,   2.76896E+00,   4.92854E+00,   1.48476E+00,   2.41181E+03
   7.10169E-01,   6.00000E+00,   1.89996E+03,   1.56770E+00,   1.25259E+00,   3.39800E+01,   2.80467E+00,   5.15447E+00,   1.49463E+00,   2.42784E+03
   6.68279E-01,   6.00000E+00,   1.87682E+03,   1.56356E+00,   1.25325E+00,   3.61100E+01,   2.83844E+00,   5.37787E+00,   1.50376E+00,   2.44269E+03
   6.31220E-01,   6.00000E+00,   1.85532E+03,   1.55998E+00,   1.25383E+00,   3.82300E+01,   2.87019E+00,   5.59693E+00,   1.51219E+00,   2.45637E+03
   2.58552E+01,   6.00000E+00,   3.34581E+03,   3.58529E+00,   1.16222E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.47598E+01,   6.00000E+00,   3.12518E+03,   3.15001E+00,   1.16691E+00,   1.75174E+00,   9.99990E-01,   1.00000E+00,   6.66130E-01,   1.08257E+03
   8.69376E-01,   6.00000E+00,   1.95069E+03,   1.57695E+00,   1.25114E+00,   2.97400E+01,   2.73191E+00,   4.69345E+00,   1.47363E+00,   2.39489E+03
   8.11527E-01,   6.00000E+00,   1.92394E+03,   1.57149E+00,   1.25198E+00,   3.18600E+01,   2.77002E+00,   4.92299E+00,   1.48438E+00,   2.41237E+03
   7.60896E-01,   6.00000E+00,   1.89917E+03,   1.56683E+00,   1.25271E+00,   3.39800E+01,   2.80575E+00,   5.14866E+00,   1.49424E+00,   2.42839E+03
   7.16013E-01,   6.00000E+00,   1.87604E+03,   1.56279E+00,   1.25336E+00,   3.61100E+01,   2.83954E+00,   5.37182E+00,   1.50337E+00,   2.44322E+03
   6.76308E-01,   6.00000E+00,   1.85454E+03,   1.55929E+00,   1.25393E+00,   3.82300E+01,   2.87130E+00,   5.59064E+00,   1.51178E+00,   2.45690E+03
   2.75789E+01,   6.00000E+00,   3.35190E+03,   3.55144E+00,   1.16285E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.57393E+01,   6.00000E+00,   3.12954E+03,   3.11806E+00,   1.16770E+00,   1.75223E+00,   9.99989E-01,   1.00000E+00,   6.66392E-01,   1.08348E+03
   9.27334E-01,   6.00000E+00,   1.94997E+03,   1.57592E+00,   1.25128E+00,   2.97400E+01,   2.73286E+00,   4.68858E+00,   1.47329E+00,   2.39541E+03
   8.65628E-01,   6.00000E+00,   1.92322E+03,   1.57059E+00,   1.25211E+00,   3.18600E+01,   2.77099E+00,   4.91788E+00,   1.48404E+00,   2.41288E+03
   8.11622E-01,   6.00000E+00,   1.89845E+03,   1.56604E+00,   1.25283E+00,   3.39800E+01,   2.80674E+00,   5.14332E+00,   1.49388E+00,   2.42889E+03
   7.63747E-01,   6.00000E+00,   1.87531E+03,   1.56210E+00,   1.25346E+00,   3.61100E+01,   2.84055E+00,   5.36625E+00,   1.50300E+00,   2.44371E+03
   7.21395E-01,   6.00000E+00,   1.85381E+03,   1.55868E+00,   1.25402E+00,   3.82300E+01,   2.87233E+00,   5.58485E+00,   1.51141E+00,   2.45738E+03
   2.93026E+01,   6.00000E+00,   3.35758E+03,   3.51996E+00,   1.16345E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.67185E+01,   6.00000E+00,   3.13361E+03,   3.08842E+00,   1.16845E+00,   1.75270E+00,   9.99989E-01,   1.00000E+00,   6.66640E-01,   1.08433E+03
   9.85293E-01,   6.00000E+00,   1.94931E+03,   1.57498E+00,   1.25141E+00,   2.97400E+01,   2.73374E+00,   4.68408E+00,   1.47298E+00,   2.39590E+03
   9.19730E-01,   6.00000E+00,   1.92255E+03,   1.56977E+00,   1.25222E+00,   3.18600E+01,   2.77190E+00,   4.91315E+00,   1.48371E+00,   2.41335E+03
   8.62349E-01,   6.00000E+00,   1.89778E+03,   1.56532E+00,   1.25293E+00,   3.39800E+01,   2.80767E+00,   5.13838E+00,   1.49355E+00,   2.42935E+03
   8.11482E-01,   6.00000E+00,   1.87464E+03,   1.56147E+00,   1.25355E+00,   3.61100E+01,   2.84149E+00,   5.36110E+00,   1.50266E+00,   2.44417E+03
   7.66482E-01,   6.00000E+00,   1.85314E+03,   1.55812E+00,   1.25410E+00,   3.82300E+01,   2.87329E+00,   5.57949E+00,   1.51106E+00,   2.45783E+03
   3.10263E+01,   6.00000E+00,   3.36292E+03,   3.49056E+00,   1.16401E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.76975E+01,   6.00000E+00,   3.13740E+03,   3.06081E+00,   1.16915E+00,   1.75314E+00,   9.99988E-01,   1.00000E+00,   6.66875E-01,   1.08513E+03
   1.04325E+00,   6.00000E+00,   1.94868E+03,   1.57412E+00,   1.25153E+00,   2.97400E+01,   2.73456E+00,   4.67989E+00,   1.47269E+00,   2.39634E+03
   9.73832E-01,   6.00000E+00,   1.92192E+03,   1.56903E+00,   1.25233E+00,   3.18600E+01,   2.77274E+00,   4.90876E+00,   1.48341E+00,   2.41379E+03
   9.13075E-01,   6.00000E+00,   1.89715E+03,   1.56467E+00,   1.25302E+00,   3.39800E+01,   2.80853E+00,   5.13379E+00,   1.49324E+00,   2.42978E+03
   8.59216E-01,   6.00000E+00,   1.87401E+03,   1.56089E+00,   1.25364E+00,   3.61100E+01,   2.84236E+00,   5.35631E+00,   1.50235E+00,   2.44459E+03
   8.11569E-01,   6.00000E+00,   1.85252E+03,   1.55761E+00,   1.25418E+00,   3.82300E+01,   2.87417E+00,   5.57451E+00,   1.51074E+00,   2.45824E+03
